Novel_Name,Series_Name,Author_Name,Genre,Average_Rating,No_of_Ratings,No_of_Reviews,Score,No_of_Votes,Publish_Year,Pages
Rebecca,,Daphne du Maurier,Romance,4.24,"6,15,536","38,818","5,167",61,"August 1, 1938",449
Avoiding Commitment ,Avoiding,K.A. Linde ,Romance,3.83,"32,040","2,546","1,669",20,"July 29, 2012",370
Sempre ,Sempre,J.M. Darhower ,Romance,4.14,"27,979","2,849","2,719",33,"February 25, 2014",518
Dragonfly in Amber ,Outlander,Diana Gabaldon ,Romance,4.34,"3,50,575","17,409",716,9,"July 1, 1992",947
Price of a Kiss ,Forbidden Men,Linda Kage ,Romance,4.06,"32,842","2,375",593,8,"August 14, 2013",373
Mystery Man ,Dream Man,Kristen Ashley ,Romance,4.2,"71,831","4,945","16,734",185,"July 11, 2011",494
My One and Only,,Kristan Higgins ,Romance,3.95,"16,652","1,406","1,201",16,"March 29, 2011",382
Seduction of a Highland Lass ,McCabe Trilogy,Maya Banks ,Romance,4.15,"25,210","1,602","2,714",35,"September 27, 2011",323
Written in Red ,The Others,Anne Bishop,Romance,4.25,"60,101","6,455",898,11,"March 1, 2013",433
The Bride Test ,The Kiss Quotient,Helen Hoang ,Romance,3.84,"1,59,916","19,519",593,7,"May 7, 2019",296
Under Locke,,Mariana Zapata ,Romance,3.93,"86,980","8,081",714,13,"January 19, 2014",497
The Duke and I ,Bridgertons,Julia Quinn ,Romance,3.81,"4,68,599","35,079","5,155",68,"January 5, 2000",384
"Love, Rosie",,Cecelia Ahern,Romance,3.94,"1,30,413","11,191","1,668",19,"November 8, 2004",512
The V Girl: a Coming of Age Story,,Mya Robarts,Romance,4,"15,963","1,678","2,690",33,"June 20, 2015",340
"Baby, I'm Yours",,Susan Andersen ,Romance,3.72,"5,935",204,709,12,"May 1, 1998",384
Significance ,Significance,Shelly Crane ,Romance,4.09,"45,038","2,934","16,562",180,"June 1, 2011",387
"Immortal Matchmakers, Inc. ",Immortal Matchmakers,Mimi Jean Pamfiloff ,Romance,3.92,"3,607",358,898,9,"August 21, 2015",306
Caged,,Shanna Ehrlich ,Romance,3.69,467,49,"1,200",12,"July 25, 2016",554
Honest Illusions,,Nora Roberts ,Romance,4.04,"16,652",590,"1,664",23,"July 1, 1992",432
"I'd Tell You I Love You, But Then I'd Have to Kill You ",Gallagher Girls,Ally Carter ,Romance,3.84,"1,88,416","8,337",592,7,"April 25, 2006",284
Like Water for Chocolate,,Laura Esquivel,Romance,3.95,"3,62,293","12,959","5,132",70,"January 1, 1989",222
Angels Fall,,Nora Roberts ,Romance,4.04,"48,790","1,687","2,674",33,"July 11, 2006",391
Fast Love ,Fast Love,Kerry Lockhart ,Romance,4.08,37,28,897,9,"August 24, 2023",276
Fallen Crest High ,Fallen Crest High,Tijan ,Romance,4.08,"57,260","3,764",709,10,"October 31, 2012",375
Bet Me,,Jennifer Crusie ,Romance,3.93,"92,334","4,247","16,251",186,"January 1, 2004",432
Inside Out ,Brown Family,Lauren Dane,Romance,4.09,"7,020",384,"1,197",14,"November 2, 2010",306
Beastly ,Beastly,Alex Flinn ,Romance,3.82,"1,76,068","9,331",893,13,"October 2, 2007",336
Hidden Riches,,Nora Roberts ,Romance,4.05,"20,047",515,591,10,"July 13, 1994",392
Slade ,New Species,Laurann Dohner,Romance,4.18,"22,654","1,133","1,661",20,"August 19, 2011",247
Seduction and Snacks ,Chocolate Lovers,Tara Sivec ,Romance,4.07,"52,705","5,900","2,671",36,"June 11, 2012",286
Ransom ,Highlands' Lairds,Julie Garwood,Romance,4.33,"35,529","1,676","5,063",62,"November 1, 1999",576
Veil of Midnight ,Midnight Breed,Lara Adrian ,Romance,4.24,"32,033",987,591,10,"December 30, 2008",355
Born in Fire ,Born In Trilogy,Nora Roberts ,Romance,4.22,"74,226","1,515",707,10,"October 1, 1994",416
The Trouble With Valentine's Day ,Chinooks Hockey Team,Rachel Gibson ,Romance,3.92,"13,883",613,892,13,"January 1, 2005",368
Dance Upon the Air ,Three Sisters Island,Nora Roberts ,Romance,4.21,"70,663","2,173","5,052",62,"June 5, 2001",400
Losing It ,Losing It,Cora Carmack ,Romance,3.72,"1,07,333","7,615","1,655",23,"October 12, 2012",189
Texas! Lucky ,Texas! Tyler Family Saga,Sandra       Brown ,Romance,3.84,"8,433",348,"1,194",17,"January 1, 1990",336
Lover Unleashed ,Black Dagger Brotherhood,J.R. Ward ,Romance,4.27,"92,958","4,325","2,667",38,"March 1, 2011",512
Born in Shame ,Born In Trilogy,Nora Roberts ,Romance,4.11,"35,711",917,889,11,"January 1, 1996",384
For the Roses ,Rose,Julie Garwood,Romance,4.05,"14,841",597,"1,645",22,"September 1, 1995",561
Breathe ,Sea Breeze,Abbi Glines ,Romance,3.85,"83,113","4,149","15,725",178,"May 16, 2011",357
The Lion's Lady ,Crown's Spies,Julie Garwood,Romance,4.18,"23,986","1,015","2,667",41,"December 1, 1988",360
Wrong ,Cafe,Jana Aston ,Romance,3.83,"47,495","4,572",591,8,"October 7, 2015",286
One Day in December,,Josie Silver ,Romance,3.86,"3,00,338","29,073",706,8,"October 18, 2018",393
It Happened One Autumn ,Wallflowers,Lisa Kleypas ,Romance,4.11,"63,863","3,962","5,020",64,"September 27, 2005",382
The Perfect Hope ,Inn Boonsboro Trilogy,Nora Roberts ,Romance,4.18,"46,499","2,616",886,13,"November 6, 2012",10
Punk 57,,Penelope Douglas ,Romance,3.78,"3,90,163","36,583",703,8,"October 18, 2016",343
Home for Christmas ,Christmas Romantic Comedy,Camilla Isley ,Romance,3.91,"1,109",190,"1,193",12,"February 22, 2022",270
Lover Eternal ,Black Dagger Brotherhood,J.R. Ward ,Romance,4.33,"1,91,550","7,542","15,169",182,"March 7, 2006",441
The Winter Sea ,Slains,Susanna Kearsley ,Romance,4.1,"65,604","7,290","1,639",22,"September 22, 2008",527
Out of the Box Awakening ,Out of the Box,Jennifer Theriot ,Romance,3.82,730,180,700,7,"May 5, 2013",366
Hearts in Darkness ,Hearts in Darkness,Laura Kaye ,Romance,3.85,"37,274","3,163","2,655",35,"April 20, 2011",112
Rainwater,,Sandra       Brown ,Romance,4.07,"17,891","2,241",885,13,"November 3, 2009",247
"Love, Lex ",The Undergrad Years,Avery Aster ,Romance,3.23,"1,714",344,"1,191",12,"April 7, 2014",218
Married by Morning ,The Hathaways,Lisa Kleypas ,Romance,4.14,"43,212","2,708","2,636",50,"May 25, 2010",341
Over the Edge ,Troubleshooters,Suzanne Brockmann ,Romance,4.22,"11,922",401,590,7,"August 28, 2001",416
The Marriage Mistake ,Marriage to a Billionaire,Jennifer Probst ,Romance,3.93,"27,584","1,367",883,12,"November 6, 2012",328
Fantasy Lover ,Hunter Legends,Sherrilyn Kenyon ,Romance,4.15,"92,572","4,216","4,996",68,"December 28, 1999",337
Chasing Midnight ,The Darkest Desires of Dixie,Shyloh Morgan ,Romance,4.06,81,51,700,7,"September 1, 2014",350
Origin ,Lux,Jennifer L. Armentrout ,Romance,4.33,"1,11,523","8,415",590,8,"August 27, 2013",374
Open Season,,Linda Howard,Romance,4.01,"20,817","1,093","1,635",24,"July 1, 2001",337
Forbidden,,Tabitha Suzuma ,Romance,3.98,"71,340","11,766","15,078",166,"May 27, 2010",418
I've Got Your Number,,Sophie Kinsella ,Romance,3.94,"2,24,556","14,468","4,992",61,"November 2, 2011",448
Venetia,,Georgette Heyer,Romance,4.11,"17,615","1,788","1,187",16,"January 1, 1958",384
Heart of the Sea ,Gallaghers of Ardmore,Nora Roberts ,Romance,4.15,"32,162",820,881,12,"December 5, 2000",369
Adventures in Trichology,,Nicholas A. Price ,Romance,5,14,6,700,7,"May 6, 2017",490
Maybe Someday ,Maybe,Colleen Hoover ,Romance,4.03,"5,09,760","36,470","2,631",40,"April 18, 2014",384
The Vincent Brothers ,The Vincent Boys,Abbi Glines ,Romance,4.1,"49,154","2,504","1,182",16,"June 1, 2012",304
"Everything, Everything",,Nicola Yoon ,Romance,3.98,"6,07,248","48,455",590,7,"September 1, 2015",312
Cotillion,,Georgette Heyer,Romance,4.09,"16,410","1,823",697,9,"January 1, 1953",416
It's in His Kiss ,Bridgertons,Julia Quinn ,Romance,4,"1,43,086","8,589","1,627",23,"June 28, 2005",384
An Offer From a Gentleman ,Bridgertons,Julia Quinn ,Romance,3.94,"2,60,710","20,143","1,180",17,"July 1, 2001",390
Darkfever ,Fever,Karen Marie Moning ,Romance,4.06,"1,79,630","12,049","4,982",59,"October 31, 2006",309
Fangirl,,Rainbow Rowell ,Romance,3.96,"7,37,801","58,159","2,628",37,"September 10, 2013",483
Grey ,Fifty Shades as Told by Christian,E.L. James ,Romance,3.82,"1,81,262","12,408",878,14,"June 18, 2015",576
Shatter Me ,Shatter Me,Tahereh Mafi,Romance,3.87,"8,14,629","80,385","15,010",165,"November 15, 2011",338
Exclusively Yours ,Kowalski Family,Shannon Stacey ,Romance,3.84,"17,210","1,224",589,9,"May 26, 2010",322
Moon Called ,Mercy Thompson,Patricia Briggs,Romance,4.15,"2,04,385","10,035","1,623",22,"January 31, 2006",289
Tribute,,Nora Roberts ,Romance,4.01,"29,470","1,373","2,619",32,"July 8, 2008",464
Tangled ,Tangled,Emma Chase ,Romance,4.04,"1,17,379","10,111","4,951",72,"May 20, 2013",254
Succubus Blues ,Georgina Kincaid,Richelle Mead ,Romance,3.94,"56,805","3,178",696,9,"February 27, 2007",343
Hometown Girl Again ,Hometown,Kirsten Fullmer ,Romance,4.28,940,62,"1,180",13,"July 10, 2018",298
Perfectly Imperfect,,Fabiola Francisco ,Romance,3.93,163,51,877,9,"June 2, 2014",175
Tempting the Best Man ,Gamble Brothers,J. Lynn,Romance,3.68,"34,766","2,228","2,616",33,"April 23, 2012",172
Opposites Attract ,First Comes Love,Camilla Isley ,Romance,3.73,"7,873",823,"1,596",16,"February 15, 2021",255
City of Ashes ,The Mortal Instruments,Cassandra Clare ,Romance,4.12,"9,21,871","36,116",589,8,"August 7, 2008",453
Bloodlines ,Bloodlines,Richelle Mead ,Romance,4.2,"1,84,751","8,892","4,928",58,"August 23, 2011",432
Natural Born Charmer ,Chicago Stars,Susan Elizabeth Phillips ,Romance,4.15,"36,143","1,866","14,929",176,"February 6, 2007",400
Unravel Me ,Shatter Me,Tahereh Mafi,Romance,4.15,"4,98,156","46,200",694,10,"February 5, 2013",461
Wicked Deeds on a Winter's Night ,Immortals After Dark,Kresley Cole ,Romance,4.34,"55,173","2,030","2,537",35,"September 24, 2007",359
Can You Keep a Secret?,,Sophie Kinsella ,Romance,3.84,"4,34,505","14,377","14,719",169,"March 23, 2003",374
Transcendence ,Transcendence,Shay Savage ,Romance,4.04,"22,573","3,683",872,10,"February 13, 2014",312
The Reef,,Nora Roberts ,Romance,3.96,"20,710",711,"1,173",18,"September 28, 1998",435
Trust: A New Beginning ,Trust Trilogy,Cristiane Serruya,Romance,3.54,"2,764",145,"1,595",16,"November 14, 2012",464
The Fill-In Boyfriend,,Kasie West ,Romance,3.9,"64,711","7,083",588,8,"May 5, 2015",352
Mansfield Park,,Jane Austen,Romance,3.86,"3,43,498","14,394","2,513",30,"July 1, 1814",488
The Selection ,The Selection,Kiera Cass ,Romance,4.08,"15,10,303","76,547","4,878",59,"April 24, 2012",336
Beautifully Cruel ,Beautifully Cruel,J.T. Geissinger ,Romance,4.15,"42,878","3,738",870,17,"May 15, 2020",336
Simply Irresistible ,Lucky Harbor,Jill Shalvis ,Romance,3.91,"34,510","2,095",693,10,"October 1, 2010",336
Naked in Death ,In Death,J.D. Robb ,Romance,4.13,"1,90,511","7,534","14,495",157,"July 1, 1995",306
The Grand Sophy,,Georgette Heyer,Romance,4.16,"32,792","4,055","2,501",39,"January 1, 1950",328
Never Never ,Never Never,Colleen Hoover ,Romance,3.86,"1,15,883",,869,12,,
Cry Wolf ,Alpha & Omega,Patricia Briggs,Romance,4.12,"1,02,299","4,653","1,170",17,"July 29, 2008",294
Honor's Splendour,,Julie Garwood,Romance,4.23,"32,506","1,277","4,797",70,"December 1, 1987",374
Halo ,Halo,Alexandra Adornetto,Romance,3.66,"68,883","4,515",587,9,"January 8, 2010",485
Friend-Zoned ,Friend-Zoned,Belle Aurora ,Romance,3.96,"26,344","2,174",691,11,"April 12, 2013",315
Whispers in the Dark ,KGI,Maya Banks ,Romance,4.3,"16,898",909,"1,592",21,"January 3, 2012",333
Graceling ,Graceling Realm,Kristin Cashore,Romance,4.07,"4,56,370","26,545","2,497",31,"October 1, 2008",471
The Gamble ,Colorado Mountain,Kristen Ashley ,Romance,4.25,"58,940","4,241","14,422",159,"April 18, 2011",679
The Darkest Hour ,KGI,Maya Banks ,Romance,4.13,"26,490","1,633","1,169",16,"September 7, 2010",304
The Gladiator,,Carla Capshaw ,Romance,4.14,788,108,586,7,"January 1, 2009",288
Sugar Daddy ,Travises,Lisa Kleypas ,Romance,4.01,"44,075","2,580","14,385",162,"March 6, 2007",371
Neanderthal Seeks Human ,Knitting in the City,Penny Reid ,Romance,3.89,"65,090","6,515","1,592",19,"March 14, 2013",372
Highland Velvet ,Velvet Montgomery Annuals Tetralogy,Jude Deveraux,Romance,4.07,"13,353",303,866,11,"January 1, 1982",368
Hereditary ,Beatrice Harrow,Jane Washington ,Romance,3.95,"3,906",205,690,7,"August 1, 2013",237
The Idea of You,,Robinne Lee ,Romance,3.93,"63,713","7,093",586,6,"June 13, 2017",372
Extreme Exposure ,I-Team,Pamela Clare ,Romance,3.91,"14,480","1,128","4,766",53,"August 2, 2005",335
Because of Low ,Sea Breeze,Abbi Glines ,Romance,4.12,"56,360","2,418","2,485",39,"February 7, 2012",294
Sweet Filthy Boy ,Wild Seasons,Christina Lauren ,Romance,4.01,"50,314","4,633","1,169",16,"May 13, 2014",418
Lawless ,"Long, Tall Texans",Diana Palmer,Romance,4.09,"5,220",287,688,8,"July 1, 2003",357
The Hunger Games ,The Hunger Games,Suzanne Collins,Romance,4.33,"84,44,200","2,12,742","1,586",22,"September 14, 2008",374
Empire of Storms ,Throne of Glass,Sarah J. Maas ,Romance,4.6,"5,47,710","44,193",586,8,"September 6, 2016",689
Roomies,,Christina Lauren ,Romance,3.79,"72,624","7,902",687,9,"December 5, 2017",368
The Best of Me,,Nicholas Sparks ,Romance,3.97,"1,74,475","11,717",865,11,"September 14, 2010",292
Lover Revealed ,Black Dagger Brotherhood,J.R. Ward ,Romance,4.29,"1,36,084","5,156","4,729",74,"March 6, 2007",455
The Sweet Gum Tree,,Katherine Allred,Romance,4.26,"30,234","3,402","14,173",160,"January 1, 2005",304
When Beauty Tamed the Beast ,Fairy Tales,Eloisa James ,Romance,4.06,"28,722","2,545","2,482",34,"January 25, 2011",372
The Thorn Birds,,Colleen McCullough,Romance,4.24,"3,47,467","7,751","14,078",161,"April 1, 1977",692
Forsaken ,The Secret Life of Amy Bensen,Lisa Renee Jones ,Romance,4.06,"2,824",341,"1,581",16,"August 18, 2015",384
My Wolf's Bane ,Shapes of Autumn,Veronica Blade ,Romance,3.78,"1,162",125,685,7,"January 27, 2013",389
Eleanor & Park,,Rainbow Rowell ,Romance,3.95,"11,52,838","77,064","2,442",31,"April 12, 2012",328
The Governess Affair ,Brothers Sinister,Courtney Milan ,Romance,3.85,"18,029","1,999",864,13,"April 21, 2012",101
Appetizers ,The Winemaker's Dinner,Ivan Rusilko ,Romance,3.87,839,162,"1,163",12,"July 28, 2012",246
Me Before You ,Me Before You,Jojo Moyes ,Romance,4.26,"15,92,618","95,044","14,010",159,"December 31, 2012",369
Morning Glory,,LaVyrle Spencer,Romance,4.27,"14,840","1,365","4,629",60,"January 1, 1989",480
Frostbite ,Vampire Academy,Richelle Mead ,Romance,4.26,"3,51,761","13,341",584,8,"April 1, 2008",327
To Tame a Highland Warrior ,Highlander,Karen Marie Moning ,Romance,4.12,"33,655","1,394",685,10,"December 1, 1999",416
Heartbreaker ,Buchanan-Renard,Julie Garwood,Romance,4.06,"27,740",964,863,16,"January 1, 2000",520
All The Wrong Reasons ,Wrong Reasons,J.L. Paul ,Romance,3.81,"8,663",294,"4,611",54,"February 11, 2011",239
Wallbanger ,Cocktail,Alice Clayton ,Romance,3.99,"2,05,741","15,207","13,833",163,"November 27, 2012",384
Ten Tiny Breaths ,Ten Tiny Breaths,K.A. Tucker ,Romance,4.09,"80,354","6,306","2,436",48,"December 11, 2012",262
Then Came You ,The Gamblers of Craven's,Lisa Kleypas ,Romance,3.96,"30,672","1,900","1,573",22,"June 1, 1993",371
Gibson's Legacy ,Last Score,K.L. Shandwick ,Romance,3.98,823,184,"1,159",12,"December 17, 2014",332
Him ,Him,Sarina Bowen ,Romance,4.25,"64,719","7,936",863,11,"July 28, 2015",360
Treading Water ,Treading Water,Marie Force ,Romance,4.19,"5,908",465,684,8,"October 1, 2011",289
To Die For ,Blair Mallory,Linda Howard,Romance,4,"13,642",796,"1,572",21,"December 16, 2004",378
Going Too Far,,Jennifer Echols ,Romance,3.92,"38,370","1,687","13,823",151,"March 17, 2009",245
Fifteen Weekends,,Christy Pastore ,Romance,4.3,172,63,582,6,"May 25, 2014",276
Own the Wind ,Chaos,Kristen Ashley ,Romance,4.19,"48,450","3,409","1,158",18,"April 1, 2013",433
Romero ,The Moreno Brothers,Elizabeth Reyes ,Romance,4.12,"7,324",324,"2,434",28,"October 24, 2011",338
Love Auction: Too Risky to Love Again,,Sharon Carter ,Romance,4.32,"2,737",15,"4,569",52,"February 3, 2020",306
A Night Like This ,Smythe-Smith Quartet,Julia Quinn ,Romance,3.87,"32,527","2,125",683,10,"May 29, 2012",373
This Heart of Mine ,Chicago Stars,Susan Elizabeth Phillips ,Romance,4.08,"31,716","1,428","13,702",166,"February 6, 2001",432
Confessions of a Shopaholic ,Shopaholic,Sophie Kinsella ,Romance,3.69,"7,40,651","13,796",863,10,"January 1, 2000",368
Definitely Dead ,Sookie Stackhouse,Charlaine Harris ,Romance,4.01,"2,02,866","4,363",682,10,"April 17, 2006",324
Hot Target ,Troubleshooters,Suzanne Brockmann ,Romance,4.25,"7,633",384,580,8,"December 28, 2004",560
The Raven Prince ,Princes Trilogy,Elizabeth Hoyt ,Romance,3.96,"23,379","1,692","2,433",33,"November 1, 2006",392
The Warlord Wants Forever ,Immortals After Dark,Kresley Cole ,Romance,4.04,"60,746","2,568","1,570",24,"February 7, 2006",163
Enough Isn't Everything ,The Everything Trilogy,K.L. Shandwick ,Romance,4.05,535,129,"1,152",12,"December 19, 2013",368
Mackenzie's Mountain ,Mackenzie Family,Linda Howard,Romance,4.16,"17,876",898,"4,490",51,"March 1, 1989",256
Once Burned ,Night Prince,Jeaniene Frost ,Romance,4.2,"68,457","4,458",680,10,"June 26, 2012",373
Crocodile on the Sandbank ,Amelia Peabody,Elizabeth Peters,Romance,4,"73,399","5,466",861,12,"January 1, 1975",262
One for the Money ,Stephanie Plum,Janet Evanovich ,Romance,4.05,"5,45,526","16,919","1,550",24,"August 26, 1994",320
Captive in the Dark ,The Dark Duet,C.J. Roberts ,Romance,3.94,"72,035","6,422","4,354",49,"August 29, 2011",276
Knight ,Unfinished Hero,Kristen Ashley ,Romance,3.92,"54,837","4,026","2,423",32,"April 7, 2012",285
Faro's Daughter,,Georgette Heyer,Romance,3.96,"14,524","1,095",580,8,"January 1, 1941",288
Ain't She Sweet?,,Susan Elizabeth Phillips ,Romance,4.08,"24,634","1,628","13,680",160,"February 17, 2004",464
Angel ,Angel,L.A. Weatherly ,Romance,3.86,"32,720","2,360","1,148",15,"October 1, 2010",507
Craving Constellations ,The Aces,Nicole Jacquelyn ,Romance,3.99,"19,731","1,284",679,9,"August 27, 2013",305
Somewhere In Time,,Richard Matheson,Romance,3.85,"7,917",825,861,10,"February 24, 1975",316
Reaper's Property ,Reapers MC,Joanna Wylde ,Romance,4.07,"58,803","4,064",579,9,"January 9, 2013",308
Miracle,,Johnathon Nicolaou ,Romance,4.54,204,22,"13,580",136,"March 24, 2023",311
First Lady ,"Wynette, Texas",Susan Elizabeth Phillips ,Romance,4,"12,687",653,"4,345",77,"January 1, 2000",376
If I Were You ,Inside Out,Lisa Renee Jones ,Romance,4.12,"26,012","2,453","1,550",19,"August 22, 2012",384
The Many Sins of Lord Cameron ,MacKenzies & McBrides,Jennifer Ashley ,Romance,4.08,"16,020","1,156","2,398",39,"January 1, 2011",298
A Hunger Like No Other ,Immortals After Dark,Kresley Cole ,Romance,4.11,"82,607","4,527","1,146",18,"March 28, 2006",360
Dash & Lily's Book of Dares ,Dash & Lily,Rachel Cohn,Romance,3.75,"96,733","11,111",679,10,"October 26, 2010",260
Bridget Jones's Diary ,Bridget Jones,Helen Fielding ,Romance,3.8,"9,73,030","12,354","13,346",150,"January 1, 1996",288
Line of Scrimmage,,Marie Force ,Romance,4,"7,681",374,861,11,"September 1, 2008",356
Dirty ,Dive Bar,Kylie Scott ,Romance,3.88,"27,286","2,993",579,10,"April 19, 2016",275
Wicked Intentions ,Maiden Lane,Elizabeth Hoyt ,Romance,3.81,"18,936","1,998","1,136",16,"August 1, 2010",401
Playing for Keeps ,Neighbor from Hell,R.L. Mathewson ,Romance,4.02,"1,13,665","5,984","12,768",148,"April 29, 2011",330
The Wedding ,Lairds' Fiancées,Julie Garwood,Romance,4.16,"35,302","1,471","4,337",56,"December 31, 1995",384
Once and Always ,Sequels,Judith McNaught,Romance,4.18,"27,108","1,270",861,13,"January 1, 1987",400
Gone Too Far ,Troubleshooters,Suzanne Brockmann ,Romance,4.31,"9,785",486,"2,380",41,"July 1, 2003",536
Comanche Moon ,Comanche,Catherine Anderson ,Romance,4.12,"9,335",878,"1,549",28,"January 1, 1991",480
A Court of Wings and Ruin ,A Court of Thorns and Roses,Sarah J. Maas ,Romance,4.47,"12,66,261","88,350",677,9,"May 2, 2017",703
Blue Bloods ,Blue Bloods,Melissa de la Cruz ,Romance,3.7,"1,40,921","5,190","1,129",15,"March 27, 2006",302
Catching Jordan,,Miranda Kenneally ,Romance,3.84,"62,795","3,756","12,633",139,"December 1, 2011",288
Ashes in the Wind,,Kathleen E. Woodiwiss,Romance,4.19,"10,275",530,860,11,"January 1, 1979",664
Be My Baby ,Baby,Susan Andersen ,Romance,3.87,"4,138",118,676,9,"January 1, 1999",384
The Mane Squeeze ,Pride,Shelly Laurenston,Romance,4.36,"14,195",661,"1,540",19,"November 1, 2009",380
